,channel_id,prop,sku_id,NextWeek_predict,distribution_sale,var
48,HN01SH05,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
49,HN02SH01,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
50,JS05SH01,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
51,JS09SH01,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
52,JS09SH02,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
53,JS10SH03,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
54,JS12SH01,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
55,JS12SH02,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
56,JS12SH03,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
57,JX01SH01,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
58,JX01SH02,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
59,JX01SH03,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
60,JX01SH06,1.0,1138070272B01#2B01#32#30,3.0,3.0,33.76466751098633
61,LN03SH01,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
62,LN03SH02,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
63,SC01SH04,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
64,SD01SH05,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
65,SD02SH02,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
66,SD03SH01,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
67,SH01SH01,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
68,SH01SH05,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
69,SH01SH06,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
70,SH01SH07,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
71,SH01SH13,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
72,SH01SH15,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
73,SH01SH19,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
74,SH01SH22,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
75,SH01SH23,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
76,SH01SH25,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
77,SH01SH26,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
78,SH01SH27,0.0,1138070272B01#2B01#32#30,3.0,0.0,33.76466751098633
