sku_id,Quantity
121805006B807#B807#00#M,6
121805006B807#B807#00#S,5
121805006B807#B807#00#XL,9
121805006B807#B807#00#XXL,4
121805006B902#B902#00#L,33
121805006B902#B902#00#M,9
121805006B902#B902#00#XL,11
121805006B902#B902#00#XXL,2
121805009B807#B807#00#L,4
121805009B807#B807#00#M,4
121805009B807#B807#00#S,2
121805009B807#B807#00#XL,3
121805009B807#B807#00#XXL,2
121805009B902#B902#00#L,5
121805009B902#B902#00#M,3
121805009B902#B902#00#XL,3
121805013B807#B807#00#L,4
121805013B807#B807#00#M,7
121805013B807#B807#00#S,4
121805013B902#B902#00#L,1
121805013B902#B902#00#M,1
121805013B902#B902#00#XL,1
121805013B902#B902#00#XXL,2
121805015B807#B807#00#L,3
121805015B807#B807#00#M,1
121805015B902#B902#00#M,2
121805015B902#B902#00#XL,1
121805015B902#B902#00#XXL,1
121805021B069#B069#00#L,2
121805021B069#B069#00#M,4
121805021B069#B069#00#S,2
121805021B069#B069#00#XXL,3
121805021B578#B578#00#L,4
121805021B578#B578#00#M,1
121805021B578#B578#00#S,2
121805021B578#B578#00#XL,4
121805021B578#B578#00#XXL,2
121805022B339#B339#00#M,2
121805026B807#B807#00#L,5
121805026B807#B807#00#M,4
121805026B807#B807#00#S,1
121805026B807#B807#00#XL,2
121805026B807#B807#00#XXL,2
121805026B902#B902#00#L,1
121805026B902#B902#00#XXL,1
121805027B504#B504#00#L,2
121805027B504#B504#00#XL,1
121805027B504#B504#00#XXL,4
1218070022B01#2B01#32#29,1
1218070032B01#2B01#32#30,2
1218070032B01#2B01#32#31,2
1218070032B01#2B01#32#33,2
1218070032B01#2B01#32#34,1
1218070062B01#2B01#32#28,2
1218070062B01#2B01#32#29,3
1218070062B01#2B01#32#30,1
1218070062B01#2B01#32#31,6
1218070062B01#2B01#32#32,1
1218070062B01#2B01#32#33,3
1218070062B01#2B01#32#34,1
1218070062B01#2B01#32#36,1
1218070062B01#2B01#34#32,4
1218070062B01#2B01#34#34,1
1218070062B01#2B01#34#36,1
1218070082B01#2B01#32#29,1
1218070082B01#2B01#32#30,1
1218070082B01#2B01#32#33,1
1218070082B01#2B01#32#36,1
1218070092B01#2B01#32#28,4
1218070092B01#2B01#32#29,8
1218070092B01#2B01#32#30,15
1218070092B01#2B01#32#31,11
1218070092B01#2B01#32#32,7
1218070092B01#2B01#32#33,7
1218070092B01#2B01#32#34,5
1218070092B01#2B01#34#31,1
1218070092B01#2B01#34#33,2
1218070092B01#2B01#34#34,6
1218070092B01#2B01#34#36,1
1218070132B01#2B01#32#28,2
1218070132B01#2B01#32#29,1
1218070132B01#2B01#32#30,4
1218070132B01#2B01#32#31,5
1218070132B01#2B01#32#32,3
1218070132B01#2B01#32#33,2
