,date,max_price,mean_price,min_price,num_black,num_blue,num_disc,num_grey,num_nodisc,num_purple,num_white,sale_vol,size_large,size_medium,size_small,std_price,month
80,2015-09-01,0.809881591817,1.54081567709,1.24263791292,0,0,2.48332548339,0,0.999668055662,0,7,5132,1.01170142046,1.42107913911,1.42107913911,170.899315892,8
81,2015-10-01,3.26484315842,1.62753817991,-3.11415866525,0,0,2.90169663685,0,1.37155071296,0,0,6147,1.36685745299,1.79618669904,1.79618669904,171.942705353,9
82,2015-11-01,1.27325558751,0.816005485563,1.24263791292,0,0,0.714286964155,0,2.19848329621,0,0,7234,2.28079231005,1.98699970741,1.98699970741,169.758888919,10
83,2015-12-01,3.26484315842,0.773901041189,1.24263791292,0,0,0.414712557977,0,1.98991874681,0,7,6705,2.35655893032,1.69663208598,1.69663208598,176.148360393,11
84,2016-01-01,3.26484315842,0.803434375035,-0.285069978127,0,0,0.760772647872,0,2.33766996864,0,0,7571,2.59806503244,1.94729637958,1.94729637958,184.562467033,0
85,2016-02-01,0.809881591817,0.991983384727,-0.0210217006613,0,0,1.74988469585,0,1.96535639286,0,11,7097,2.03928620792,1.95262966243,1.95262966243,187.750179269,1
86,2016-03-01,0.809881591817,1.15212422792,1.24263791292,0,0,1.74471961989,0,1.94768873475,0,161,6976,1.75042596813,2.16655356312,2.16655356312,175.588118797,2
87,2016-04-01,0.812950293775,1.34367685433,0.469353671774,0,0,2.29996528651,0,2.03344151435,0,190,7514,1.83092800217,2.27914508979,2.27914508979,164.231115752,3
88,2016-05-01,0.812950293775,1.51013952862,1.29921968666,0,0,2.08044955784,0,1.9993989536,0,126,7304,1.79304469203,2.13810938795,2.13810938795,156.817362461,4
89,2016-06-01,0.809881591817,1.21850527967,0.620238401754,0,0,1.21788187109,0,1.94941240871,0,103,6879,1.39526993559,2.02788820921,2.02788820921,162.161798213,5
90,2016-07-01,0.503011395991,1.09371116183,0.676820175497,0,0,0.437955399836,0,1.33880090768,0,38,5238,0.95487645525,1.27945085029,1.27945085029,172.115300953,6
91,2016-08-01,0.809881591817,1.27454446758,0.676820175497,0,0,0.355314184338,0,1.12721992885,0,30,4637,0.841226524839,1.19708125972,1.19708125972,171.273114653,7
92,2016-09-01,1.73049217929,1.32086651393,0.111002438071,0,0,0.631645748657,0,1.87357075438,0,10,6460,1.50418445224,1.94433344467,1.94433344467,178.733808396,8
93,2016-10-01,1.73049217929,1.04648713818,-2.07682614664,0,0,0.6574711285,0,2.76169376329,0,13,8931,2.41811930929,2.64417867102,2.64417867102,212.949589222,9
94,2016-11-01,1.73049217929,0.51174441572,0.111002438071,0,0,-0.243834628017,0,3.71790189369,0,2,10368,4.22231195457,2.93395370548,2.93395370548,168.291139179,10
95,2016-12-01,1.73049217929,0.693194125799,-2.07682614664,0,0,-0.243834628017,0,3.08574446814,0,1,8940,3.36993747649,2.57306823312,2.57306823312,184.03535557,11
